WnwSWfWLubcnod	.caemwn unuLua  iawyik cSwa (wnwv5) IlwA unWYclusclwa	n	
irebcnod	.Wnwkcnwl (2) .caeaiDnwd  wncnoa iawfiawLwa cnurEb egEgurwhiDoa (1)	n	
ilerebcnod	.caehwmurwf Wtwf  wncnuh cSwkwawluk cTeliawv ctwr urEb (.N)	n	
ehEbcnod	.csEbcnod (.N)	n	
csEbcnod	.eveawgiawluk UdnIr InWncnuhim  .caehEb udwrufum Enemih iawgEret eguhEbihevid	n	
ikorobcnod	.ikerubcnod (.s.N)	n	
Wlobcnod	.evekehwm wncnuh  cSokugidwmih eruvcSwhwmwyinof Iaim .caehwmurwf	n	
cauruDobcnod	.caur cnod wncnwgiSWk iteDob eruvcSwywgWb	n	
WniSwkcnod	.Wnwhwncnod (.s.N)	n	
wnwmwkcnod	.uDnwgurwk egulwmWgcaid :uzWjwm  (2) .caemwnWyik cSwncnunehcnwaihevid (1)	n	
wfWkcnod	.WhIm cnUnwfWk ,cniawncnum wtwvun  ELuacnegednia wncnum (.N) (2) .WhImcnUnwfWk  ,cniawmWm wtwvun ELua cnegednia wmWm (1)	n	
cnurukcnod	.cnuruk Wkcawf cnegiawl cSwkwnwt wtwvun  cSwkwCcaea Wvudcnwbiawv cnwrukcnod itekwt wdwfWvEm  (2) .cnurukunUh cSwrwvWvctwr cnegiawlcSwnWfilwa  iheCcaeawdwf ihircnwr iaWyol iaWDnwgwd (1)	m	
wlukcnod	.wlukUdnIruDwm	n	
cnuDnekcnod	.cnurukcnod (.s)	m	
cnurekcnod	.cnurukcnod (.N)	m	
oyekcnod	.oyek ctwfwncnuh iawfevcnod	n	
clEkcnod	.oyekcnod (.N)	n	
iDokokcnod	.inUdudnurih (.s)	n	
wgnwacnod	.evekeycaob egiawlukuduh wncnuh iawfiawhwjcaekwtcawl  egiawlukctwr Iaim .caetwvWb egIrubneaUf	n	
uLufWsiawacnod	.caemwn  Wyik cSwncnunehcnwa (2) .evekehwmitIr cSwrwv  .ELuaiawgulwgWg caeawb egEretuLwf iaWycawgItwmurEb  Iaim .caetwvWb eguhwm (.L) (1)	n	
wnWfuLoacnod	.eveawgiawlukuduh InWncnuh cSwfiriawk egutwfUgin  .evekehwm wncnuh caekwtikitUn idukiduk .evekehwm  egiawlukiSumctwr Iaim .caetwvWb egiawnWf	n	
cnuvwrwvcnod	.cnuvurwh cSwrwvWvcnod (.s)	m	
cnuhejiLwvcnod	.cnuliawfwk cnwhuduh  cnegcSokcnod caeaiLwv wmihuDnut iawkwTcSwmurencsod  wncnuh iawfidefua iawgIDwa egumwhuduh (.s)	m	
WDwvcnod	(cnwtcnwtufWs wncnuh  itenwniv iaWlwgiawgudUm) .uDnwgcnod (.s)	n	
cnuvcnod	.cnuvcnod cSwria  :ulWsim .cnuliawdcaWf cnwkilwa egumureauria (8)  .cnuvilwa wluk egumwh (7) .cnuvwlwn iawgiawvuruhwb  egcnIdukwDuk :uzWjwm (6) .cnuvurwvwncnukuniDnog  egiawLWSoa (5) .cnuvunUh cSwDobWm  cnivwa caeCcaea wtwvuncaenwt (4) .cnuvctwr  cnunUh egunWfilwa itekwt Inwduawm (3) .cnuawawluk  UdnIr csogcnegevurwh ctwfeguhwgcswg iaWaWvEmcaeawb  (2) .cnuvWkcawf itekwtWLwa iawguhwgcswg (1)	m	
ilevcnod	.ilevcnumih egiawlukuduh	n	
cnudeh cSwkwLonifilevcnod	.cnulcSokitwfWncnus  caeSwr :uzWjwm	m	
cnuvcSwkwLonifilevcnod	.cnuvitwfWncnus  evukWlwhcaeSwr :uzWjwm (2) .cnuvcsuh  cswgcaur cnukwSwrea csogcnumwrig caeSwr (1)	m	
uLonifilevcnod	.uDnwgilevcnod  ctencswgcaur ,Wviawfikih cnudUm	n	
iDnutilevcnod	.uDnwgilevcnod  Wviawfimed cSwrud cnegiLug WkwSwr	n	
wSwmcnod	.unWa wncnoa  iawgIriawk WnefuriaWd cnumwncnok uDnwgcnib  (2) .unWa egiawlukuduh (1) (.s)	n	
ukinwmcnod	.caemwnWyik cSwncnunehirif ihevid	n	
ekinwmcnod	.caemwnWyik cSwncnunehcnwa ihevid	n	
wmcnwmcnod	.WhIm  cnUnwmcnwm ELuacnegednia wtwvun cniawpcawb	n	
.eveawdwfcaerudwyincnodwmcnwmcnod	.caehwb  ELuaenub cnutog egumukcaed cnwkcaeawbiawbunuqcluK  udemWncnirwdcnod Ikwncniawmcnwmcnod wnig  (caehwbiLukcsum)		
ejcnwmcnod	.caemwnwv Wyik cSwncnunehcnwa	n	
wtiawdiawmcnod	.wmcnwmcnod egWhImibnwa wtwvun egWhImirif	n	
udwmcnod	.ctogWyik WmIvcnod cawvWLwa iawguhwgilidim	n	
cswmcnod	.eveaenWncnuh caekwtugnor  wmih iawgItwmirwaed eguhwmim .evekehwm urIm cSwrwv  Iaim .evekehwmEnEb cniawnigcSwrwv uriaWtcawf unwn  Ikwhwmim .caehwmELua iawgurEb egurwfurwf iaWLwfuLwf	n	
urwyimiDwmcnod	.caerwtcawv egurwyimiDwm	n	
orwyimiDwmcnod	.urwyimiDwmcnod (.s)	n	
erEmiDwmcnod	.urwyimiDwmcnod (.N)	n	
wmWmcnod	.WhIm cnUnwmWm  ,wncnia wtwvun cnia ,wfWm (2) .WhIm cnUnwmWm  ELuacnegednia wtwvun cnia ,wfWk (1)	n	
wfWmcnod	.wpcawbcnod egwmcnwm (.s.N)	n	
urwyimcnod	.evekerwyim wncnuh cSokugid cSwLokcnut  ,wlwfcSwkwrwv egiawdWa Iaim .caetwvWb egurwyim	n	
cnuhImcnod	.cnuhIm  upwrUy :uzWjwm (2) .cnuhImilwa wlukegiawg (1)	n	
imWrugumcnod	.caetwvWb egumWrugum (.s)	n	
wsUmcnod	.cswgWLwa  wsUmcnod (3) .eveawgiawluk UdnIrctwr InWncnuh  WmIvcnodim .caeCcaeaWk egurwvcaeSoa wHIbcswtWLwa  iawgcaehwg (2) .caemwnWyik cSwncnunehirif (1)	n	
inUdwsUmcnod	.inUd udnurih	n	
cswgwsUmcnod	.eveawgiawlukUdnIrctwr InWncnuh  WmIvcnodim .caehwgWLwacaeCcaea WrukcnunEbcnWk  Edeh cSwkwnimcsua caeaWhwgikwvwSwk	n	
wlukwyifihemcnod	.wlukUdnIrctwr	n	
unohomcnod	.udwmcawHumcnod  (2) .caemwnWyik cSwncnunehirif (1)	n	
wLwfcnod	.uLwfuLwfcten  iauh iaWlwg (2) .uLwfcnod (1) (.s)	n	
cswmOLwfcnod	.eveawgiawluk ctwrwdwg  Inwncnuh wgnwa egIm .eveawlukctwr uDwm Ikwawluk  eguhwmim .caehwmwDuk ELua iawgEret egukwtwkwrum	n	
uDnoritwfcnod	.eveawgiawlukcnod Inwncnuh ctwfUgwn iaWLokcnut  iaWairwtok eguhwmim .caetwvWb eguDnor	n	
WCIgwbctwfcnod	.cswgWCIgwb wncnuh  iawfiawhwj iawgutwf caekwtikit egiawlukcnod	n	
iDwmctwfcnod	.eveaenWncnuh caeawbuLwk wncnuh cnehcaeairwa  ctwvcnwf iawgutWrwfcSwd egulugwn iawfevwmih Ugwn  idwa .eveawluknod IkwawlukegIm .caetwvWb egIDwm	n	
cswfcnod	.cswf wncnuh  iawgiawlukilwa (2) .cswfWvun cSwhwfuLwk (1)	n	
utufcnod	.caemwnWyik cSwncnunehirif (2) .caemwnELua  iawyik cnibOl cSwLufirwd cnehirif (1)	n	
ibOlutufcnod	(ibOl wncnefun cSwaWmitcSuk  eguLufirwd egWmit) .ibOlunwk Wvekedcnirwd	n	
caurubnwdcnod	.evea wlukUdnIr wdwg Ikwawluk  egItekwtwncnwg iawgukurim caetwvWb egukurubnwd	n	
ercawdcnod	.irwdcnod (.g)	n	
uDnwgwdcnod	.uDnwgwd wncnoa iawfcSokcnod cnunWfilwa	n	
cnunidcnod	.cnuvudneh (2) .cnunid csob iawgcaenwt  csevcnehea eguDnwgiSwh wtwvun iawgunUm (1)	m	
wyidcnod	.caemwnWyik cSwncnunehcnwa	n	
eyidcnod	.wyidcnod	n	
inIdcnod	.inUd ulwvudnwk (.s.N)	n	
IdIdcnod	.caemwnWyik cSwncnunehirif iaWncnunehcnwa	n	
inUdcnod	.inUd utwkwnEh	n	
cnusUminUdcnod	.cnusUmELua cniawnig inUd ukwtwnEh	n	
udnifOlinUdcnod	.eveaenWvwDuk caeLokcnwt eruvcSwdifOl  urubwb udnifOlim .caetwvWb egudnifOl	n	
imUdcnod	.eveawgiawlukcnod InWncnuhim .caetwvWb egImUd	n	
odcnod	.oyekcnod iawgiawvuruhwb egcnidukwDuk	n	
Wnodcnod	.caemwnWyik cSwncnunehcnwa  (2) .evekehwm wncnuh iawgiawlukcnod cSokugid  caeLokcnwt cSwDWf wLubWr Iaim .caehwmurwf (1)	n	
urukwtcnod	.caemwnWyik cSwncnunehirif	n	
utcautcnod	.caemwnWyik cSwncnunehirif	n	
uLuaigcnod	.eveawgiawlukUdnIr  Inwncnuh iawbirwtok utWrwfcSoduDnwb iaWtwfUgin  .eveaeruh caekwtugnorWLuf egiawlukUdnIrcnod  cSwtogctogikea iaWSwhwruh eguhwm .eveawluk  cTeliawv Ikwawluk uDnwgiawm eguhwmim .evekehwm  urIm cSwrwv cswm ,EnEb cnudwm ELua iawgunufcSwrwv  eguDnwk urEb Iaim .caetwvWbeguLuaig	n	
eycaogcnod	.caemwnWyik cSwncnunehcnwa	n	
uroscnod	.caemwnWyik cSwncnunehirif	n	
wrod	.urod (.s)	n	
Wrod	.wLwnod wncnuh cSokiDnob	n	
unoaWrod	.caehwg wncnuh iawfideh  iawgumibuDwsik cSwkwtogurwtcawvWnoa (.N)	n	
urod	.ctog (6) .ugwm (5) :uzWjwm .ctwfcnwk (n)  .ctwfEn (S) .wgnwa (h) :ulWsim .caenwtemcnok  Wvemukunedwv caeCcaea cSwTcSwheretea egWnWscnia  (4) .cnwtwncnukun csijwnumwkuDob iaWhijwnumwkwDuk  egcnunWviawh iaWncnunWscnia (3)  .umEruf wncnuh iawfiawdwh cnukwCcaea InwduAwm wtwvun  iDukwl iawgnWtcnwt wdwfim (2) .cnwt wncnuh  iawfiawdwh cSwmutukinedwv cSwnwtcnwt (1)	n	
cnuvudcnwburod	.cnuvctogEverukun caemwkELua cnwruk  wtwvun ,caemwkiruh cSokcSok (2) .cnuvctogEbilun  caemwkcswvwnwtiruh ibilibil (1) :uzWjwm	m	
Wburod	.urWf .db	n	
cnuTcaeheburod	.cnurukurwhurod	n	
Wncnwkurod	.inwkurod (.g)	n	
iSwaurod	.iSOrod	n	
cswvudurwvurod	.evehwvud cnitim  ,caeawvun rwbcmesiD ,caeywhid cTcswgoa ,caetwh  clIrcpea ,Ikwkwtcswvudea .evehwvud Wvcsuh iawgukea  WscaWrWtwkwn Iaea .caemwnWyik cSwkwhwvudcnituLwf  Wpcnus cSwrwv wncnwa iawgEreturwhwa  ,iawgiawvuruhwb egcniretctwkwn .kn	n	
inWvurod	.unWvurod (.s)	n	
unWvurod	.WyirevwrWfurod  (2) .WhImwncnuh cSwywrWf egurod (1)	n	
itwmurod	.itwmirukegEg (2) .itwmirukWmidWrod (1)	n	
cswmurod	.evekehwm wDukwDuk ELea iawgIdwbidwb wkwrum  wncnuh iawgEretuLwf Iaim .caetwvWb eguhwm (.g)	n	
ihomurod	.evekerebWhwj  cnunWKcsubWn WmInwv cSwaeret urwvuDnwg csiawa  iawfcsog WycaifwLWt uhwfcSwyigcnwb egudWmwn csitwf  ErElivurukuh Iaim .caereb unuLuaiawhwj iawguhia	n	
cnuhomurod	.cnurukihwfugwm  cSwkwmwk (2) .cnuliawvuLuh (1) :uzWjwm	m	
irevwhwfurod	.wncnufELua cnegenokururoh iawgudUm (.L)	n	
ctwfurod	.eveaeruhcsevcSwaiLwfed  ,iaWSwaiLwfcaea im .iteawncnuh iawfcSokurwh iawgurod  iawdwh cSwtog EpcaeliawvuLuh cSwmurukudcnwburod	n	
cnulctwfurod	.cnurukurwh ctwfurod	m	
cnuhejctwfurod	.cnudeh ctwfurod	m	
cnwkirevwrWfurod	.WfIzwv egumwkirevwrWfurod	nan	
WyirevwrWfurod	.cnuhImEbit cSwywrWf iawgItwmurod  egWtcnwt wdwfctwrWmiA (2) .unWvurod (1)	n	
itofurod	.itof wncnuh iawfiawhwf cnwmwd  iawgurod wtwvun wncnuh iawfiawmwd iawgurod	n	
uDnwgiDnwdurod	.uDnwgiDnwd uDcnwt	n	
uDcnwturod	.eveaeruh  cawtctwvWb utWfwt egIm .itekwt cnehea cnUnuLwt  WrukcnunEb cSwmurukudcnwb iawfiawpcawlurod	n	
cnuhejurod	.cnudehurod cniDukwl (2) .cnupcaelurod (1)	m	
erod	.urod (.g)	n	
WtcnwmeDwmiawberod	.Wlifcnef (.g)	n	
Wyeberod	.uDnwgcawlum (2) .Wbnurid (1) (.g)	n	
Wtwferod	.itwfurod (.g)	n	
orod	.urod (.N)	n	
cnorod	.ctwgwm (.N)	n	
cnurekudcnwborod	.cnuruk udcnwburod (.N)	m	
iawborod	.urodWmwd (.N)	n	
inwkorod	.inwkurod (.s)	n	
inWkorod	.inwkurod (.N)	n	
iSiaorod	.iSOrod (.s.N)	n	
cnudehugod	.cnukcaedwkwhWv  ufWliKWtwqIqwH (2) .cnunubugod (1)	m	
cnwkirevugod	.cnwkcten cnwkirevudet iawguhwb  iaWlwmwa (2) .uLokidia egumwkirevudet (1)	nan	
Wyirevugod	.WhImWdwh ugod	n	
itegod	.itegnud (.L)	n	
ogod	.ugnod (2) .ugod (1) (.s.N)	an	
cnudehogod	.cnudehugod (.N)	m	
csod	.caeCcaeawloa wncnuh cSwkwawluk UdnIr  uDwmEdefua cnegeviawbunEl egcaenwt eguDnwgiSwh	n	
unuhikcsod	.eveaenWncnwa csod  iawgunuhik egutwvWbim .caerwtcawv egunuhik	n	
cnuawacsod	.cnutukun csod	m	
cnureacsod	.cnutwgcsod	m	
urohomcsod	.caeycawb Wgwncnulol	n	
cnulcsod	.cnuawacsod cniaereturwk  iawfiawscaek (2) .cnutwgcsod (1)	m	
cnutwgcsod	.cnureacsod	m	
Od	.OdcnUncaedet  Inubim cnerwhwa :ulWsim .caehwb WrukcnunEb  cSwmuruk ulWvus cnutog egumuvunub cswbnWa	a	
iLwhOd	.wDukcnwk Wnwdurwh :uzWjwm  (3) .wDukWvurwf (2) .wredcnWrEf (1)	an	
cnwkiLwhOd	.cnwkwDuk cnwkWnwdurwh egWhIm :uzWjwm (3) .cnwkwred  urwvcnef (2) .cnwkwredcnWrEf (1)	nan	
cnuviLwhOd	.cnuvwDuk  cnwkWnwdurwh :uzWjwm (3) .cnuvwred cnWrEf (2)  .cnuveruk caemwk cSwtogEhejun ukWtcnukWt (1)	m	
ctwhOd	.ctwfEd (.t)	n	
iLohOd	.wDukWvurwf (2) .iLwhOd (1)	an	
ignOd	.igOd (.s) (2) .ctWrwfuSwd eguLuhulukwk  cnudemed WhwmWvuLwkwDuk WhwmWvuLwkWm egiawf (1)	n	
ilwbignOd	(!Wlwb igOd urwviDoa)  .caeycawb WvwLud uLuhuLuh ukeaWmuhir iawguLuhuLuh	n	
inOd	.caednwLua wncnuh iawfednwb cSwmurukurutwd  cSwSwrcaenwa cnuSwrcaea ,iaWSwmuaidcSwhwm	n	
cnugeninOd	.cnurukudet caeNcnOd wncnoa  iawfcSokirwa (2) .cnuaidcneg cSwkwnwt cnehea cnUn  cnwtwncnoa urwhwfinOd wncnuhiawfiawLwa (1)	m	
uLokinOd	.ctogWyik cSokctWm emcnea cSwNcnOd (2)  .eveawfiawmwd cSwfuaescair InWncnuh iawgInOdim  .inOdWhwjilwf wncnuh iawfednwb cnWd cSwnwtcnwt  iawgumwkcnwk ikeaikea egurWkurws iawguhia (1)	n	
itwminOd	.eretea egInOd Wdiawfiawvcaud	n	
urwhwfinOd	.ctogWnub  cSwmurukwnigcswbim ,inOd (2) .cawtinOd (1)	n	
WyinOd	.inOd (.g)	n	
WrOd	.Wr egukurihevid	n	
ilwSotWrOd	.ilwSot  wncnuh iawfeyiv cSokwredWm cnWrEf (.N)	n	
irOd	.iawbwncnuh iawfiawhwj cSwmurukWvin uDnut  egItekwtwdwf cnwlwg (5) .itea wncnuh iawfiawhwj  cSwLokilignia uriaELuaiawhwf cnutwa iheCcaea  caeawb (4) .iteawncnuh iawfiawhwj iawguLok egIDnwd  egiawDuk (3) .iteawncnuh iawfiawdwh cnehEnELeaoyet  cSwaeretea cSokwmih uLokcaea cSokitwfcSokcSwv  cnWvcaudoyet cSwscaiCcaea cnegiawtif (2)  .caeCcaea wncnuh iawfiawdwh cSokwmihirit cSokWLufitwm  iawkwTcSwmuLea cSwscaiCcaeawDuk wgnwa itekwtWyid  csevcnUnea idwa iaWnef ,iaWlet (1)	n	
urOd	.caeCcaea wncnuh iawfiawdwh cniSum  wtwvun cniSwm cSokugidurwk iawkwTcSwmuLeacnef	n	
ilibnwkurOd	.caemwnWyik cSwncnuhIm EbitcSokurihWtun (	L)	
ilWrubOd	.evekerukwh  ikih wncnuh cSwkufcauf Iaim urukwhiSwk	n	
urukwhilWrubOd	.ilWrubOd	n	
wLOd	.uLOdegISWk (.N)	n	
ubnwLOd	.eveSwkwtog urwtcawv  WTcSwmog InWncnuhim .caeCcaea egWliaWaObnul	n	
ObnilwLOd	.ubnwLOd (	L)	
uLOd	.ctWg Wvcnegiawlif cnuhis  iaWmwk ugwv (2) .evencnehurik wncnuhiawfevuDnwg  InWncnuhim .oyetiSWk wncnuh iawgEretea  egISWk iaWycawgurEb egIDum egISWkiDum (1)	n	
cnwkuLOd	.cnwkELua  cnegevuLoa cSwDobWm WkwCcaea wtwvun WkwhIm	m	
iSWkuLOd	iSWkiDumwncnuhuLOd cniawnig (.m)	n	
cnuvuLOd	.cnuLua cnegeviLOgiawg (2) .cnuvuLoa (1)	m	
eDekwaOd	.cnimurud (.N)	n	
iaOd	.iDoa (.db)	n	
wlcaOd	.ilOd (.g)	n	
WgcaOd	.ilwbwlwfiawf (.g)	n	
cnuaidcSwycaOd	.cnuaid cSwairitwa  (4) .cnuaid cSwycaifig (3) .cnuaid cSwtijWh  (2) :uzWjwm .cnuaid cSwtijWh iawbiawf cSwycaOd  wncnuh iawgurwhwfiletcawb iaWrwhwfiDoa (1)	m	
cnwvOd	.ubWncnuf (.db)	n	
ivOd	.ignOd (.db)	n	
ctwfOd	.ctwfEd (.a)	n	
wdOd	.idOd (.db)	n	
wnWdOd	.cnwkitIr wluk iawg (.db)	nan	
irWdOd	.iteaELuaiawhwjcnitwm cSwmubcaoa iriawk egIheCcaea  (4) .uLwvOl (3) .caeCcaea ELugcneg cnwdwhilif  Wlcnikwk (2) .caerWb egumulufua cSwCcawm (1)	n	
idOd	.cawtugnor egIlwa Wvunof cnukwCcaea	n	
cnunidOd	.cnuliawhwa  EaOd iawgutWg egcaehImea cSwmudOhudIaWt egcaehIm	m	
WyidOd	.ulwhws (3)  .ctencaemwkWnwdurwh (2) .EhejunukWtcnukWt (1)	n	
cnwkWyidOd	.cnwkulwhws (3) .cnwkctencaemwkWnwdurwh  (2) .cnwkEhejunukWtcnukWt (1)	nan	
cnuvWyidOd	.cnuvulwhws cawtcnwk (3) .cnuten caemwkWnwdurwh  (2) .cnuvctogEhejunukWtcnukWt (1)	m	
edOd	.odOd (.L)	n	
odOd	.inOd iawgiawvuruhwb egcnidukwDuk	n	
OdOd	.inOd iawgiawvuruhwb egcnidukwDuk	n	
cnurukWlOd	.cnurukIrikOn	m	
cnurukilObilOd	.cnuvurihWt cSokctwjWh csogcSwycaOd	m	
cnurukilOd	.cnurukctwjWHWFwq (2) .cnuruk ctwjWH WFwqirea  cSwycaOd wncnuh iawgurwhwf inOdiDoa (1)	m	
cnurekilOd	.cnurukilOd (.N)	m	
ubnuailOd	.iteaWrukcnunEb  cnwgwncnef iawgIlOdwncnuh iawgurwhwfinOdiDoa	n	
WLogilOd	.ubnuailOd (.N)	n	
igOd	.igOdurwviDoa	n	
egElubnwkWhiawaigOd	.evencnunehcnwa egElwk urudeaiDwb Iaim iawgutogWnub  cnirevwtiDcnwf egcnIhevid .caevcaed IlWyiK	n	
WsOd	.ulihWj (.s)	n	
WTcawpOd	.eveaeruk cnunEb cseviawgutog egcaeaWgurubim  .caeDnwgitof inut ugidinwh wncnoa iawfiawlcaea  cSwCcawmuDnok iawgumudeh unWtcsikWp	n	
t	.ilifEbEa iaWycaifebea egiawnWt  ilifurukwa (3) .urukwa wnwv 4 egurukwawyiv  ihevid (2) .urukwa wnwv 13 egiawnWt (1)	n	
wt	?wtcaedetwmwh Iawyit (S)  ?wtcaemwkwred iawhikIrukwyit (h) :ulWsim .caerukwa  WrukcnunEb cSwmurukwhEd wnWm egumurukulWvus  (3) .egElubnwk (.m) (2) .Elwk (1)	n	
ulIlihwt	.ulIluhwt (.s.N)	n	
Wyinuhwt	.udWbckwrWbum	n	
cnuyikWyinuhwt	.cnurukWdwa udWbckwrWbum	m	
ubIzuhwt	.cawtctogitIr uLwgnwr (3) .cnuvulwdwb Wvulwdwb  cSwtogcaea WnWmwz (2) .utcsWrWa (1)	n	
cnuvubIzuhwt	.cnutwgwSwa cawtctogitIr uLwgnwr (3) .cnuvulwdwb  cSwtogcaea WnWmwz (2) .cnuvutcsWrWa (1)	m	
enehwt	.cnulwbnwk wyit (.g)	n	
enWlehwt	.cnemElwk (.g)	n	
wSwt	.cSwaelwk (.N) (2)  .wlwSwfurwh wncnoa iawgItwmcnib (1) (.s)	n	
.eveailuncaeawhwa csevEhubnwyirwmInwyikcSwSwt	.caehwb  ELuaenub cnumubilun caeyul cSokWvurwf cSwycawb  (3) .caehwb ELuaenub cnumulunWDug iawfihiawfih  cnwlcaufua caeCcaeaurwb (2) .caehwb ELuaenub  cSwmunub Eyidehun csevcSwmwkiruhwned ukwkenwa  cSwywkwhWv Wkcawd Wmit (1) (caehwbiLukcsum)		
iDcnwhiawSwt	.caeawtEruf IlWyiK (.N)	n	
cnuvwSwt	.cnudefua caeawlwSwfurwh iawgItwmcnib (.s)	m	
wDnwgwSwt	.uDnwgcnib wncnoaiawfevurwh (.s)	n	
WSwt	.wlwSwfurwh wncnoa iawgItwmcnib (.N)	n	
oDnwgWSwt	.uDnwgcnib wncnoaiawfevurwh (.N)	n	
cnutwgWSwt	.cnuvwrwt uDnwgcnib (2)  .cnudefua caeawlwSwfurwh iawgItwmcnib (1) (.N)	m	
iSwt	.udofcnefWliawrig  eyilwtiDcnwf iawgISwt Wyil cnutog egumudeh wtiDcnwf  (3) .eveaeruh cseviawluncawLua cseviawfiawlcawLua  im .evencnehcaeTcawt cSokinog Inwncnuhim  .caeCcaea Ed cnubwbws egumuawa cSwawnwvwnwv  cnutWrWbum ikeaikea (2) .caerWvcnwkWdwh cnitekwt  Inwduawm ,iaWncniSum cnwLwa itekwtObWk (1)	n	
irwbiSwt	.caeCcaeawncnuh iawfiawdwh cSwtogEnumea cSwkwDnwginud  cSokurWycawt cSwawfis egcaekwt irubuLwd cnuDnwgwd  wtwvun ukcniz wtwvun ukiTcsWlcp ,iawkwT  cSwmuaidcneg cSwnwtcaenwa cnunwtcaea iheCcaeaWk	n	
irubiSwt	.caeawb cniaeret egukwtiawb egIrwbiSwt (.h)	n	
ctwviSwt	.uDnwgiSWn egulob (2)  .cnwtcnwt caeawb ,iaWSwfcSwf wncnuh iawfiawgwn  cSokiDwa iawgInwkurod caeawb iaWycawg ubnwtubnwt  eguDWf caeawb Wdwh cniawvua iaWaiDukwl (1)	n	
WdcnorWgwnctwviSwt	.Wdcnor wncnuh iawfiawdwh  cnwhwjwlit cSwtogEverukiDwa cSwdem WmISem	n	
cnugenctwviSwt	.cnurukiDwa cSwtogWvcSwtwviSwt	m	
cnureacSwCcawmiSwt	.cnureacnWk ukwywbcaenwa WmInuminiawk ukwywbcaea	m	
cnuvogcSwCcawmiSwt	.cnuvog cSwkwywb wtwvun ,cSwkwhIm  cSwmuliawk caeCcaea iruh iawgunwtea cSokinwv  iawfevudwm itekwtwk WviawfcSokurWycawt cSwmuaek	m	
itwmiSwt	.cnwtwncnuh  iawfiminiawk ukwywbcaea (3) .cnwtwncnuh  iawfcSokurWycawt cnWk (2) .itwmWrufus (1)	n	
cnulebitwmiSwt	.cnuTcaeheleb itwmWrufus (2) .cnuTcaeheleb  cSwLwgnwr cnwtea cseneg caeCcaeaWvudwm  iawlwb OtEvudwm itekwt utugwvWk csiawaukwywbea  cnegIdutwvuAwd cSwkwmuaek cSwncnuhIm ukwywb (1)	m	
cnuliawhwkitwmiSwt	.cnulcSokcsuh iawk iawTcawhwbun cSwkwywbwncnwacned  itekwtWk WviawfcSokurWycawt cSwkwmuaek :uzWjwm	m	
iSumiSwt	.itof cnwkcserwtwh  egISum wncnuh iawfiawdwh cnWrukctwt iawgnWtcnwt  wdwfcnuLwt iaWrWf (2) .uLok iteaitea wncnuh  WmInuLet itekwt wdwfuDOj iaWTcawtWkctwb (1)	n	
uDwaiSumiSwt	.caetogWnub cSokctwbcsin  cSwDwaea uriaWrugug cSwrWbWm :uzWjwm	n	
uDnwgiSumiSwt	.caeawb egISumiSwt wncnuh iawfiawdwh cnwhwj iawgurWf  wtwvun iawgumuLwt (2) .uDnwgitea uDob wncnoa  WmInuLet iSwt Wviawfiawdwh cniSum (1)	n	
cnuhejiSumiSwt	.cnurukctwt iSumiSwt  iawgWtcnwt wdwfurWf wtwvun uDnwgcnuLwt	m	
iSemiSwt	.iSumiSwt (.s)	n	
cnuhImuSodiSwt	.cnuhIm WTcawhwlwb itwmiSwt	n	
idIvwtiSwt	.udIvwtiSwt (.N)	n	
cnuailiSwt	.cnuailwtiDcnwf cniled iawgISwt  cnirevwtiDcnwf OtEbilWfix cSwkwtilwb ikeaikea	m	
uTesiSwt	.eveawfiawLwa  cnuherukwlwhwkcaea iawgcaeawlukcaea InWncnuhim  .cawtiSwtwncnuh iawfcSok wBcaWK cSwkwmwkcaea  (2) .iSwt 12 wncnuh cSwkwtogcaea (1)	n	
uSwt	.iSwt (.l)	n	
Wlwbnwt	.Wmet (.g)	n	
Wbnwt	.ubnwt (.g)	n	
ibnwt	.iawb egISwkwncnuh  iawfilufua cSwtWrwfed iawguLuhwDuk egiawf	n	
iSibnwt	.iSwkibnwt (.l)	n	
iSwkibnwt	.ibnwt (3) .ubWsihIvcSwLuhim (2)  .uDnwgiSwk eguLuh ELugWywf iaWywlitiawf (1)	n	
WTcawkibnwt	.iSwkibnwt (.g)	n	
ikwvibnwt	.cawvibnwt (.s)	n	
cawvibnwt	.evekeCcaeawhiv Iaim .caetwvWb eguhEbcSoa	n	
ubnwt	.cnukur :uzWjwm  (2) .iDum wncnuhiawfiawhwj cSokwdwg cSwdet iawkwT  cSwmuTcaehefih cnwdwrubItwm egutWrWmiA (1)	n	
urubnwt	.oyevWLwa urubnwt (2) .caeCcaeawncnuh  cSokitwf cSokcSwv WLwa iawgulevurubnwt (1)	n	
cawvurubnwt	.urubnwt (.N)	n	
oyevurubnwt	.urubnwtiscawa	n	
cnuhejiLubnwt	.cnuhejcaot (.s)	m	
ebnwt	.ubnwt (.g)	n	
eSebnwt	.iSwkibnwt (.N)	n	
obnwt	.ubnwt (.N)	n	
iSobnwt	.ubWncnuf (.l)	n	
